EVGA SuperNOVA GT 850 850W;notebooksbilliger.de;89,90 €;;Germany;220-GT-0850-Y2;power-supply;;new;4,25081E+12
"
INNO3D GeForce RTX 3060 Ti Twin X2 LHR Grafikkarte - 8GB GDDR6, HDMI, 3x DP
";notebooksbilliger.de;569,00 €;;Germany;N306T2-08D6-119032DH;GPU;;new;8,35168E+11
ASUS ROG Strix B550-A;notebooksbilliger.de;170,51 €;;Germany;90MB15J0-M0EAY0;mainboard;;new;4,71802E+12
"
AMD Ryzen 9 5950X";notebooksbilliger.de;559,00 €;;Germany;100-100000059WOF;CPU;;new;7,30143E+11
Samsung 870 EVO SSD 500GB;notebooksbilliger.de;74,90 €;;Germany;MZ-77E500B/EU;SSD;;new;8,80609E+12
G.SKILL Aegis Schwarz 32GB Kit;notebooksbilliger.de;121,90 €;;Germany;F4-3200C16D-32GIS;RAM;;new;4,71329E+12
ASUS BW-16D1HT;notebooksbilliger.de;79,90 €;;Germany;90DD01E0-B30000;Blueray-drive;;new;4,71666E+12
"
Scythe Mugen 5 [Rev. B] ";notebooksbilliger.de;45,99 €;;Germany;SCMG-5100;Cooling fan;;new;4,57123E+12
"
Cooler Master CM Force 500";notebooksbilliger.de;64,68 €;;Germany;FOR-500-KKN1;PC Case;;new;4,71951E+12
Logitech MX Master 2S Bluetooth;notebooksbilliger.de;75,99 €;;Germany;910-005139;Mouse;;new;5,09921E+12
Microsoft Bluetooth Keyboard;notebooksbilliger.de;37,99 €;;Germany;QSZ-00006;Keyboard;;new;8,89843E+11
